window,method,F1,n,scenario
8,TF-Vote-Decay-1.0,0.8608,661,sudden|3src|brand+title
8,TF-Vote-Decay-3.0,0.8457,661,sudden|3src|brand+title
8,TF-Vote-Decay-5.0,0.8411,661,sudden|3src|brand+title
1,WV-static,0.7396,338,sudden|5src|brand
1,TF-Vote-NoDecay,0.7396,338,sudden|5src|brand
1,TF-Vote-Decay-3.0,0.7396,338,sudden|5src|brand
2,WV-static,0.7902,491,sudden|5src|brand
2,TF-Vote-NoDecay,0.7862,491,sudden|5src|brand
2,TF-Vote-Decay-3.0,0.7882,491,sudden|5src|brand
3,WV-static,0.8155,580,sudden|5src|brand
3,TF-Vote-NoDecay,0.8155,580,sudden|5src|brand
3,TF-Vote-Decay-3.0,0.8172,580,sudden|5src|brand
4,WV-static,0.7965,629,sudden|5src|brand
4,TF-Vote-NoDecay,0.7965,629,sudden|5src|brand
4,TF-Vote-Decay-3.0,0.7917,629,sudden|5src|brand
5,WV-static,0.787,648,sudden|5src|brand
5,TF-Vote-NoDecay,0.7901,648,sudden|5src|brand
5,TF-Vote-Decay-3.0,0.7855,648,sudden|5src|brand
6,WV-static,0.7823,657,sudden|5src|brand
6,TF-Vote-NoDecay,0.7945,657,sudden|5src|brand
6,TF-Vote-Decay-3.0,0.8174,657,sudden|5src|brand
7,WV-static,0.7897,661,sudden|5src|brand
7,TF-Vote-NoDecay,0.8215,661,sudden|5src|brand
7,TF-Vote-Decay-3.0,0.8306,661,sudden|5src|brand
8,WV-static,0.7897,661,sudden|5src|brand
8,TF-Vote-NoDecay,0.8381,661,sudden|5src|brand
8,TF-Vote-Decay-3.0,0.8457,661,sudden|5src|brand
1,WV-static,0.7396,338,sudden|5src|title
1,TF-Vote-NoDecay,0.7396,338,sudden|5src|title
1,TF-Vote-Decay-3.0,0.7396,338,sudden|5src|title
2,WV-static,0.7902,491,sudden|5src|title
2,TF-Vote-NoDecay,0.7862,491,sudden|5src|title
2,TF-Vote-Decay-3.0,0.7882,491,sudden|5src|title
3,WV-static,0.8155,580,sudden|5src|title
3,TF-Vote-NoDecay,0.8155,580,sudden|5src|title
3,TF-Vote-Decay-3.0,0.8172,580,sudden|5src|title
4,WV-static,0.8315,629,sudden|5src|title
4,TF-Vote-NoDecay,0.8315,629,sudden|5src|title
4,TF-Vote-Decay-3.0,0.8283,629,sudden|5src|title
