budget,seed,method,F1,EM,mean_n_eff
25,0,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,3.6136363636363638
25,0,Weighted-Voting-Field,0.9609653092006033,0.943502824858757,3.6136363636363638
25,0,TupleFuse-Vote-Mean,0.9641704374057315,0.9491525423728814,3.6136363636363638
25,0,TupleFuse-Vote-LCB,0.9642383107088989,0.96045197740113,3.6136363636363638
25,0,TupleFuse-Vote-LCB-Decay,0.8825414781297134,0.9265536723163842,3.6136363636363638
25,1,Weighted-Voting-Global,0.9769909502262443,0.9717514124293786,4.611111111111111
25,1,Weighted-Voting-Field,0.9573152337858221,0.9491525423728814,4.611111111111111
25,1,TupleFuse-Vote-Mean,0.9769909502262443,0.9717514124293786,4.611111111111111
25,1,TupleFuse-Vote-LCB,0.9640497737556561,0.9717514124293786,4.611111111111111
25,1,TupleFuse-Vote-LCB-Decay,0.9250226244343892,0.9378531073446328,4.611111111111111
25,2,Weighted-Voting-Global,0.9803242835595777,0.9774011299435028,4.738095238095238
25,2,Weighted-Voting-Field,0.9899999999999999,0.9830508474576272,4.738095238095238
25,2,TupleFuse-Vote-Mean,0.9769909502262443,0.9717514124293786,4.738095238095238
25,2,TupleFuse-Vote-LCB,0.9737254901960783,0.9774011299435028,4.738095238095238
25,2,TupleFuse-Vote-LCB-Decay,0.9149019607843137,0.943502824858757,4.738095238095238
25,3,Weighted-Voting-Global,0.9672473604826547,0.9548022598870056,4.7073170731707314
25,3,Weighted-Voting-Field,0.8923378582202112,0.903954802259887,4.7073170731707314
25,3,TupleFuse-Vote-Mean,0.9641704374057315,0.9491525423728814,4.7073170731707314
25,3,TupleFuse-Vote-LCB,0.8593438914027148,0.903954802259887,4.7073170731707314
25,3,TupleFuse-Vote-LCB-Decay,0.8300603318250377,0.8870056497175142,4.7073170731707314
25,4,Weighted-Voting-Global,0.9607088989441931,0.943502824858757,4.714285714285714
25,4,Weighted-Voting-Field,0.8562594268476621,0.8813559322033898,4.714285714285714
25,4,TupleFuse-Vote-Mean,0.9608371040723981,0.943502824858757,4.714285714285714
25,4,TupleFuse-Vote-LCB,0.9182956259426848,0.9378531073446328,4.714285714285714
25,4,TupleFuse-Vote-LCB-Decay,0.8366591251885369,0.8870056497175142,4.714285714285714
25,5,Weighted-Voting-Global,0.9607767722473604,0.96045197740113,4.2
25,5,Weighted-Voting-Field,0.954366515837104,0.9491525423728814,4.2
25,5,TupleFuse-Vote-Mean,0.9607767722473604,0.96045197740113,4.2
25,5,TupleFuse-Vote-LCB,0.9607164404223227,0.9661016949152542,4.2
25,5,TupleFuse-Vote-LCB-Decay,0.856395173453997,0.8983050847457628,4.2
25,6,Weighted-Voting-Global,0.9868627450980392,0.9887005649717514,3.5531914893617023
25,6,Weighted-Voting-Field,0.9867948717948719,0.9774011299435028,3.5531914893617023
25,6,TupleFuse-Vote-Mean,0.9769909502262443,0.9717514124293786,3.5531914893617023
25,6,TupleFuse-Vote-LCB,0.9835294117647059,0.9830508474576272,3.5531914893617023
25,6,TupleFuse-Vote-LCB-Decay,0.9013725490196078,0.9096045197740112,3.5531914893617023
25,7,Weighted-Voting-Global,0.9607767722473604,0.96045197740113,4.386363636363637
25,7,Weighted-Voting-Field,0.9479562594268476,0.9378531073446328,4.386363636363637
25,7,TupleFuse-Vote-Mean,0.9511613876319759,0.943502824858757,4.386363636363637
25,7,TupleFuse-Vote-LCB,0.9379034690799397,0.9491525423728814,4.386363636363637
25,7,TupleFuse-Vote-LCB-Decay,0.8465233785822021,0.8870056497175142,4.386363636363637
25,8,Weighted-Voting-Global,0.9510331825037707,0.943502824858757,5.0227272727272725
25,8,Weighted-Voting-Field,0.911945701357466,0.9152542372881356,5.0227272727272725
25,8,TupleFuse-Vote-Mean,0.9609653092006033,0.943502824858757,5.0227272727272725
25,8,TupleFuse-Vote-LCB,0.908552036199095,0.9265536723163842,5.0227272727272725
25,8,TupleFuse-Vote-LCB-Decay,0.9052865761689292,0.9265536723163842,5.0227272727272725
25,9,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,3.7857142857142856
25,9,Weighted-Voting-Field,0.9640422322775265,0.9548022598870056,3.7857142857142856
25,9,TupleFuse-Vote-Mean,0.9575716440422323,0.9548022598870056,3.7857142857142856
25,9,TupleFuse-Vote-LCB,0.967315233785822,0.9661016949152542,3.7857142857142856
25,9,TupleFuse-Vote-LCB-Decay,0.8825414781297134,0.9209039548022598,3.7857142857142856
50,0,Weighted-Voting-Global,0.9835294117647059,0.9830508474576272,7.529411764705882
50,0,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,7.529411764705882
50,0,TupleFuse-Vote-Mean,0.9769909502262443,0.9717514124293786,7.529411764705882
50,0,TupleFuse-Vote-LCB,0.9934615384615384,0.9887005649717514,7.529411764705882
50,0,TupleFuse-Vote-LCB-Decay,0.9869909502262444,0.9887005649717514,7.529411764705882
50,1,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,8.25531914893617
50,1,Weighted-Voting-Field,0.9771191553544495,0.9717514124293786,8.25531914893617
50,1,TupleFuse-Vote-Mean,0.9737858220211161,0.9661016949152542,8.25531914893617
50,1,TupleFuse-Vote-LCB,0.9869909502262444,0.9887005649717514,8.25531914893617
50,1,TupleFuse-Vote-LCB-Decay,0.9509803921568628,0.9717514124293786,8.25531914893617
50,2,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,8.0
50,2,Weighted-Voting-Field,0.9705806938159879,0.96045197740113,8.0
50,2,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,8.0
50,2,TupleFuse-Vote-LCB,0.9509125188536953,0.96045197740113,8.0
50,2,TupleFuse-Vote-LCB-Decay,0.9737254901960783,0.9774011299435028,8.0
50,3,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,7.76
50,3,Weighted-Voting-Field,0.9771794871794871,0.96045197740113,7.76
50,3,TupleFuse-Vote-Mean,0.9705806938159879,0.96045197740113,7.76
50,3,TupleFuse-Vote-LCB,0.9801960784313725,0.9774011299435028,7.76
50,3,TupleFuse-Vote-LCB-Decay,0.9574509803921568,0.9717514124293786,7.76
50,4,Weighted-Voting-Global,0.9705806938159879,0.96045197740113,7.6
50,4,Weighted-Voting-Field,0.9642307692307691,0.9378531073446328,7.6
50,4,TupleFuse-Vote-Mean,0.9608371040723981,0.943502824858757,7.6
50,4,TupleFuse-Vote-LCB,0.9641101055806939,0.96045197740113,7.6
50,4,TupleFuse-Vote-LCB-Decay,0.9018929110105581,0.9322033898305084,7.6
50,5,Weighted-Voting-Global,0.9769909502262443,0.9717514124293786,7.2727272727272725
50,5,Weighted-Voting-Field,0.9739140271493213,0.9661016949152542,7.2727272727272725
50,5,TupleFuse-Vote-Mean,0.9803242835595777,0.9774011299435028,7.2727272727272725
50,5,TupleFuse-Vote-LCB,0.970392156862745,0.9717514124293786,7.2727272727272725
50,5,TupleFuse-Vote-LCB-Decay,0.9018929110105581,0.9322033898305084,7.2727272727272725
50,6,Weighted-Voting-Global,0.9575716440422323,0.9548022598870056,6.891304347826087
50,6,Weighted-Voting-Field,0.9641025641025641,0.9378531073446328,6.891304347826087
50,6,TupleFuse-Vote-Mean,0.9641704374057315,0.9491525423728814,6.891304347826087
50,6,TupleFuse-Vote-LCB,0.9705203619909503,0.9717514124293786,6.891304347826087
