window,method,bad_mean_trust,scenario
5,TF-Vote-NoDecay,0.7262,sudden|3src|brand+title
5,TF-Vote-Decay-0.1,0.7205,sudden|3src|brand+title
5,TF-Vote-Decay-0.3,0.7088,sudden|3src|brand+title
5,TF-Vote-Decay-1.0,0.6715,sudden|3src|brand+title
5,TF-Vote-Decay-3.0,0.5891,sudden|3src|brand+title
5,TF-Vote-Decay-5.0,0.5229,sudden|3src|brand+title
6,TF-Vote-NoDecay,0.676,sudden|3src|brand+title
6,TF-Vote-Decay-0.1,0.6655,sudden|3src|brand+title
6,TF-Vote-Decay-0.3,0.6462,sudden|3src|brand+title
6,TF-Vote-Decay-1.0,0.6011,sudden|3src|brand+title
6,TF-Vote-Decay-3.0,0.5564,sudden|3src|brand+title
6,TF-Vote-Decay-5.0,0.5169,sudden|3src|brand+title
7,TF-Vote-NoDecay,0.6373,sudden|3src|brand+title
7,TF-Vote-Decay-0.1,0.6234,sudden|3src|brand+title
7,TF-Vote-Decay-0.3,0.5996,sudden|3src|brand+title
7,TF-Vote-Decay-1.0,0.5555,sudden|3src|brand+title
7,TF-Vote-Decay-3.0,0.5353,sudden|3src|brand+title
7,TF-Vote-Decay-5.0,0.5123,sudden|3src|brand+title
8,TF-Vote-NoDecay,0.6029,sudden|3src|brand+title
8,TF-Vote-Decay-0.1,0.5859,sudden|3src|brand+title
8,TF-Vote-Decay-0.3,0.5581,sudden|3src|brand+title
8,TF-Vote-Decay-1.0,0.516,sudden|3src|brand+title
8,TF-Vote-Decay-3.0,0.5145,sudden|3src|brand+title
8,TF-Vote-Decay-5.0,0.5079,sudden|3src|brand+title
2,TF-Vote-NoDecay,0.7301,sudden|5src|brand
2,TF-Vote-Decay-3.0,0.5598,sudden|5src|brand
3,TF-Vote-NoDecay,0.7717,sudden|5src|brand
3,TF-Vote-Decay-3.0,0.5951,sudden|5src|brand
4,TF-Vote-NoDecay,0.7832,sudden|5src|brand
4,TF-Vote-Decay-3.0,0.6187,sudden|5src|brand
5,TF-Vote-NoDecay,0.7598,sudden|5src|brand
5,TF-Vote-Decay-3.0,0.5989,sudden|5src|brand
6,TF-Vote-NoDecay,0.7346,sudden|5src|brand
6,TF-Vote-Decay-3.0,0.5865,sudden|5src|brand
7,TF-Vote-NoDecay,0.7168,sudden|5src|brand
7,TF-Vote-Decay-3.0,0.5815,sudden|5src|brand
8,TF-Vote-NoDecay,0.7007,sudden|5src|brand
8,TF-Vote-Decay-3.0,0.5751,sudden|5src|brand
2,TF-Vote-NoDecay,0.7301,sudden|5src|title
2,TF-Vote-Decay-3.0,0.5598,sudden|5src|title
3,TF-Vote-NoDecay,0.7717,sudden|5src|title
3,TF-Vote-Decay-3.0,0.5951,sudden|5src|title
4,TF-Vote-NoDecay,0.7832,sudden|5src|title
