source_id,brand,description,title
src_0,58.0,76.0,13.0
src_1,56.0,75.0,12.0
src_10,61.0,71.0,22.0
src_11,58.0,75.0,9.0
src_12,95.0,131.0,43.0
src_13,67.0,137.0,42.0
src_14,150.0,157.0,54.0
src_15,176.0,180.0,58.0
src_16,186.0,184.0,63.0
src_2,56.0,73.0,11.0
src_3,55.0,72.0,16.0
src_4,60.0,69.0,16.0
src_5,45.0,69.0,5.0
src_6,97.0,92.0,18.0
src_7,59.0,73.0,14.0
src_8,65.0,77.0,8.0
src_9,62.0,86.0,25.0
