engine,n_rows,threads,width,time_s,throughput_mrows_s,out_rows,peak_mb
pandas,10000000,16,2,10.5311,0.9496,1967869,2140.9
duckdb,10000000,16,2,1.2381,8.0771,1967869,2140.7
pandas,10000000,16,4,10.4812,0.9541,1967869,2141.1
duckdb,10000000,16,4,1.2187,8.2055,1967869,2141.1
pandas,10000000,16,8,40.1823,0.2489,1967869,2420.0
duckdb,10000000,16,8,1.5649,6.3903,1967869,2207.5
pandas,10000000,16,16,98.8093,0.1012,1967869,3700.1
duckdb,10000000,16,16,1.9355,5.1667,1967869,3698.1
